source,device,session_date,total_sessions,sessions_with_visit,sessions_with_product_view,sessions_with_add_to_cart,sessions_with_checkout,sessions_with_purchase,visit_to_product_view_rate,product_view_to_cart_rate,cart_to_checkout_rate,checkout_to_purchase_rate,visit_to_purchase_rate
email,desktop,2024-12-31,18,18.0,13.0,5.0,2.0,1.0,0.7222,0.3846,0.4,0.5,0.0556
email,mobile,2024-12-31,18,18.0,14.0,8.0,3.0,2.0,0.7778,0.5714,0.375,0.6667,0.1111
email,tablet,2024-12-31,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
organic,desktop,2024-12-31,50,50.0,40.0,6.0,3.0,3.0,0.8,0.15,0.5,1.0,0.06
organic,mobile,2024-12-31,96,96.0,79.0,21.0,7.0,6.0,0.8229,0.2658,0.3333,0.8571,0.0625
organic,tablet,2024-12-31,6,6.0,5.0,3.0,2.0,2.0,0.8333,0.6,0.6667,1.0,0.3333
paid,desktop,2024-12-31,47,47.0,39.0,13.0,8.0,7.0,0.8298,0.3333,0.6154,0.875,0.1489
paid,mobile,2024-12-31,94,94.0,75.0,28.0,10.0,7.0,0.7979,0.3733,0.3571,0.7,0.0745
paid,tablet,2024-12-31,6,6.0,4.0,2.0,0.0,0.0,0.6667,0.5,0.0,,0.0
referral,desktop,2024-12-31,11,11.0,9.0,5.0,4.0,4.0,0.8182,0.5556,0.8,1.0,0.3636
referral,mobile,2024-12-31,24,24.0,21.0,9.0,7.0,5.0,0.875,0.4286,0.7778,0.7143,0.2083
email,desktop,2024-12-30,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,0.0
email,mobile,2024-12-30,4,4.0,4.0,0.0,0.0,0.0,1.0,0.0,,,0.0
organic,desktop,2024-12-30,3,3.0,2.0,0.0,0.0,0.0,0.6667,0.0,,,0.0
organic,mobile,2024-12-30,4,4.0,2.0,0.0,0.0,0.0,0.5,0.0,,,0.0
paid,mobile,2024-12-30,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
referral,desktop,2024-12-30,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
email,desktop,2024-12-29,2,2.0,1.0,0.0,0.0,0.0,0.5,0.0,,,0.0
email,mobile,2024-12-29,2,2.0,1.0,0.0,0.0,0.0,0.5,0.0,,,0.0
organic,desktop,2024-12-29,3,3.0,2.0,0.0,0.0,0.0,0.6667,0.0,,,0.0
organic,mobile,2024-12-29,7,7.0,7.0,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,0.1429
organic,tablet,2024-12-29,2,2.0,1.0,0.0,0.0,0.0,0.5,0.0,,,0.0
paid,desktop,2024-12-29,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,0.0
paid,mobile,2024-12-29,5,5.0,5.0,2.0,1.0,1.0,1.0,0.4,0.5,1.0,0.2
paid,tablet,2024-12-29,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
referral,desktop,2024-12-29,2,2.0,1.0,0.0,0.0,0.0,0.5,0.0,,,0.0
referral,mobile,2024-12-29,3,3.0,3.0,2.0,1.0,1.0,1.0,0.6667,0.5,1.0,0.3333
organic,desktop,2024-12-28,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
organic,mobile,2024-12-28,5,5.0,2.0,1.0,1.0,1.0,0.4,0.5,1.0,1.0,0.2
organic,tablet,2024-12-28,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
